alias,canonical_brand,status,version_added,note
SK,海力士,confirmed,0.3.0,业务方已确认的品牌别名
美光,镁光,confirmed,0.3.0,商品库标准品牌为镁光
MT,镁光,confirmed,0.3.1,业务方已确认的内存品牌别名
